Metric,Value
Agent Type,DRL_Agent
Completion Time (s),46.586
Collision Count,0
Distance Traveled (m),611.647
Average Speed (m/s),13.28583
Maximum Speed (m/s),15.00000
Minimum Speed (m/s),1.42147
Speed Standard Deviation,2.459473
Speed Consistency,0.8148800
Average Steering Angle (deg),14.3814400
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9201031
Average Acceleration (m/s²),15.2317
Maximum Acceleration (m/s²),222.548
Average Path Deviation (m),5.214
Maximum Path Deviation (m),15.688

Lap Data
Lap,StartTime,EndTime,LapTime,AvgSpeed,MaxSpeed,MinSpeed,AvgSteering,MaxSteering,AvgAccel,MaxAccel,PathDeviation,Collisions,Efficiency
1,0.000,45.380,45.380,13.242,15.000,1.421,14.762,45.000,15.564,222.548,1996.839,0,-2.362

Checkpoint Data
CheckpointID,SegmentName,IsStart,IsEnd,SegmentTime,Timestamp,Speed
1,Checkpoint_1,False,False,0.000,3.680,14.885
2,Checkpoint_2,False,False,0.000,7.240,14.158
3,Checkpoint_3,False,False,0.000,8.820,14.127
4,Checkpoint_4,False,False,0.000,10.800,14.882
5,Checkpoint_5,False,False,0.000,11.700,13.360
6,Checkpoint_6,False,False,0.000,15.200,8.561
7,Checkpoint_7,False,False,0.000,16.160,14.089
8,Checkpoint_8,False,False,0.000,17.160,14.968
9,Checkpoint_9,False,False,0.000,18.460,14.886
10,Checkpoint_10,False,False,0.000,20.460,10.903
11,Checkpoint_11,False,False,0.000,21.320,12.167
12,Checkpoint_12,False,False,0.000,22.040,14.700
13,Checkpoint_13,False,False,0.000,22.800,14.455
14,Checkpoint_14,False,False,0.000,24.520,7.945
15,Checkpoint_15,False,False,0.000,26.160,14.804
16,Checkpoint_16,False,False,0.000,27.440,14.860
17,Checkpoint_17,False,False,0.000,29.000,14.886
18,Checkpoint_18,False,False,0.000,30.260,14.852
19,Checkpoint_19,False,False,0.000,31.740,14.840
20,Checkpoint_20,False,False,0.000,33.160,14.884
21,Checkpoint_21,False,False,0.000,34.560,11.805
22,Checkpoint_22,False,False,0.000,36.720,12.162
23,Checkpoint_23,False,False,0.000,38.040,14.550
24,Checkpoint_24,False,False,0.000,39.200,14.819
25,Checkpoint_25,False,False,0.000,40.520,11.017
26,Checkpoint_26,False,False,0.000,42.380,13.618
27,Checkpoint_27,False,False,0.000,43.260,14.886
0,Checkpoint_0,True,True,0.000,45.380,14.886
