Metric,Value
Agent Type,DRL_Agent
Completion Time (s),10.496
Collision Count,0
Distance Traveled (m),140.205
Average Speed (m/s),13.56407
Maximum Speed (m/s),15.00000
Minimum Speed (m/s),1.42147
Speed Standard Deviation,2.604649
Speed Consistency,0.8079743
Average Steering Angle (deg),11.3793100
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9367816
Average Acceleration (m/s²),11.1162
Maximum Acceleration (m/s²),31.274
Average Path Deviation (m),4.405
Maximum Path Deviation (m),15.688

Checkpoint Data
CheckpointID,SegmentName,IsStart,IsEnd,SegmentTime,Timestamp,Speed
1,Checkpoint_1,False,False,0.000,3.680,14.885
2,Checkpoint_2,False,False,0.000,7.240,14.366
3,Checkpoint_3,False,False,0.000,8.760,14.458
