Metric,Value
Agent Type,Manual_Player
Completion Time (s),7.502
Collision Count,0
Distance Traveled (m),238.676
Average Speed (m/s),1.01923
Maximum Speed (m/s),9.04355
Minimum Speed (m/s),0.00000
Speed Standard Deviation,2.387791
Speed Consistency,-1.3427320
Average Steering Angle (deg),0.5039550
Maximum Steering Angle (deg),15.57894
Steering Smoothness,0.9972003
Average Acceleration (m/s²),3.5164
Maximum Acceleration (m/s²),41.016
Average Path Deviation (m),3.282
Maximum Path Deviation (m),5.459
