Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed,SteeringAngle,Acceleration,PathDeviation,Phase,CheckpointID
4.980,-0.400,0.620,230.930,0.000,-0.618,0.000,0.618,0.000,6.422,2.269,driving,-1
5.100,-0.400,0.594,230.930,0.000,-0.004,0.000,0.004,0.000,3.033,2.269,driving,-1
5.220,-0.400,0.603,230.930,0.000,0.078,0.000,0.078,0.000,0.372,2.269,driving,-1
5.340,-0.400,0.608,230.930,0.000,0.012,0.000,0.012,0.000,0.441,2.269,driving,-1
5.460,-0.400,0.607,230.930,0.000,-0.008,0.000,0.008,0.000,0.019,2.269,driving,-1
5.580,-0.400,0.607,230.930,0.000,-0.003,0.000,0.003,0.000,0.053,2.269,driving,-1
5.700,-0.400,0.607,230.930,0.000,0.001,0.000,0.001,0.000,0.011,2.269,driving,-1
5.820,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.005,2.269,driving,-1
5.940,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.002,2.269,driving,-1
6.060,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
6.180,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
6.300,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
6.420,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
6.540,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
6.660,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
6.780,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
6.900,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.020,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.140,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.260,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.380,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.500,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.620,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.740,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.860,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
7.980,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
8.100,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
8.220,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
8.340,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
8.460,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
8.580,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
8.700,-0.400,0.607,230.930,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
