Metric,Value
Agent Type,DRL_Agent
Completion Time (s),92.789
Collision Count,0
Distance Traveled (m),1236.006
Average Speed (m/s),13.34618
Maximum Speed (m/s),15.08260
Minimum Speed (m/s),1.11688
Speed Standard Deviation,2.339823
Speed Consistency,0.8246822
Average Steering Angle (deg),15.1940500
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9155886
Average Acceleration (m/s²),16.2103
Maximum Acceleration (m/s²),321.096
Average Path Deviation (m),0.000
Maximum Path Deviation (m),0.000

Lap Data
Lap,StartTime,EndTime,LapTime,AvgSpeed,MaxSpeed,MinSpeed,AvgSteering,MaxSteering,AvgAccel,MaxAccel,PathDeviation,Collisions,Efficiency
1,0.000,44.460,44.460,13.286,15.083,1.117,14.595,45.000,15.766,272.833,0.000,0,1.000
2,44.460,88.340,43.880,13.273,15.042,5.361,15.984,45.000,16.619,321.096,0.000,0,1.000

Lap Summary
Metric,Value
Total Laps,2
Best Lap Time,43.880
Worst Lap Time,44.460
Average Lap Time,44.170
Lap Time Consistency,0.991
Time Efficiency,0.9980863

Checkpoint Data
CheckpointID,SegmentName,IsStart,IsEnd,SegmentTime,Timestamp,Speed
1,Checkpoint_1,False,False,0.000,3.680,14.885
2,Checkpoint_2,False,False,0.000,7.240,14.366
3,Checkpoint_3,False,False,0.000,8.760,14.458
4,Checkpoint_4,False,False,0.000,10.700,14.881
5,Checkpoint_5,False,False,0.000,11.620,13.448
6,Checkpoint_6,False,False,0.000,15.180,8.483
7,Checkpoint_7,False,False,0.000,16.140,14.215
8,Checkpoint_8,False,False,0.000,17.100,14.960
9,Checkpoint_9,False,False,0.000,18.400,14.886
10,Checkpoint_10,False,False,0.000,20.300,11.841
11,Checkpoint_11,False,False,0.000,21.160,12.560
12,Checkpoint_12,False,False,0.000,21.860,14.921
13,Checkpoint_13,False,False,0.000,22.600,14.650
14,Checkpoint_14,False,False,0.000,23.940,9.129
15,Checkpoint_15,False,False,0.000,25.500,14.678
16,Checkpoint_16,False,False,0.000,26.740,14.797
17,Checkpoint_17,False,False,0.000,28.320,14.886
18,Checkpoint_18,False,False,0.000,29.600,14.762
19,Checkpoint_19,False,False,0.000,31.080,14.691
20,Checkpoint_20,False,False,0.000,32.460,14.884
21,Checkpoint_21,False,False,0.000,33.800,12.277
22,Checkpoint_22,False,False,0.000,36.140,11.862
23,Checkpoint_23,False,False,0.000,37.460,14.817
24,Checkpoint_24,False,False,0.000,38.620,14.835
25,Checkpoint_25,False,False,0.000,39.920,12.436
26,Checkpoint_26,False,False,0.000,41.520,13.832
27,Checkpoint_27,False,False,0.000,42.380,14.886
0,Checkpoint_0,True,True,0.000,44.460,14.886
1,Checkpoint_1,False,False,0.000,47.240,14.863
2,Checkpoint_2,False,False,0.000,50.740,14.363
3,Checkpoint_3,False,False,0.000,52.140,14.852
4,Checkpoint_4,False,False,0.000,54.080,14.868
5,Checkpoint_5,False,False,0.000,55.020,13.207
6,Checkpoint_6,False,False,0.000,58.740,8.260
7,Checkpoint_7,False,False,0.000,59.700,14.165
8,Checkpoint_8,False,False,0.000,60.700,14.661
9,Checkpoint_9,False,False,0.000,62.020,14.886
10,Checkpoint_10,False,False,0.000,64.160,8.892
11,Checkpoint_11,False,False,0.000,65.140,11.702
12,Checkpoint_12,False,False,0.000,65.860,14.492
13,Checkpoint_13,False,False,0.000,66.600,14.917
14,Checkpoint_14,False,False,0.000,67.960,9.224
15,Checkpoint_15,False,False,0.000,69.520,14.538
16,Checkpoint_16,False,False,0.000,70.780,14.832
17,Checkpoint_17,False,False,0.000,72.320,14.685
18,Checkpoint_18,False,False,0.000,73.560,14.896
19,Checkpoint_19,False,False,0.000,74.980,14.880
20,Checkpoint_20,False,False,0.000,76.320,14.889
21,Checkpoint_21,False,False,0.000,77.960,7.836
22,Checkpoint_22,False,False,0.000,80.120,11.874
23,Checkpoint_23,False,False,0.000,81.440,14.765
24,Checkpoint_24,False,False,0.000,82.540,14.885
25,Checkpoint_25,False,False,0.000,83.800,12.482
26,Checkpoint_26,False,False,0.000,85.440,13.738
27,Checkpoint_27,False,False,0.000,86.280,14.886
0,Checkpoint_0,True,True,0.000,88.340,14.886
1,Checkpoint_1,False,False,0.000,91.120,14.755
