Metric,Value
Agent Type,Manual_Player
Completion Time (s),88.862
Collision Count,1
Distance Traveled (m),1131.103
Average Speed (m/s),12.77318
Maximum Speed (m/s),14.99847
Minimum Speed (m/s),0.00826
Speed Standard Deviation,3.009715
Speed Consistency,0.7643722
Average Steering Angle (deg),12.2270700
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9320719
Average Acceleration (m/s²),15.3620
Maximum Acceleration (m/s²),368.123
Average Path Deviation (m),0.000
Maximum Path Deviation (m),0.000
