Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed,SteeringAngle,Acceleration,PathDeviation,Phase,CheckpointID
0.100,-0.400,0.620,230.930,-0.001,-0.621,0.018,0.621,0.000,6.382,2.269,driving,-1
0.220,-0.400,0.594,230.929,-0.001,-0.004,0.005,0.006,0.000,3.079,2.269,driving,-1
0.340,-0.400,0.603,230.929,0.000,0.081,-0.003,0.081,0.000,0.375,2.269,driving,-1
0.460,-0.400,0.608,230.929,0.000,0.013,-0.002,0.013,0.000,0.459,2.269,driving,-1
0.580,-0.400,0.607,230.929,0.000,-0.009,0.000,0.009,0.000,0.025,2.269,driving,-1
0.700,-0.400,0.607,230.929,0.000,-0.003,0.000,0.003,0.000,0.056,2.269,driving,-1
0.820,-0.400,0.607,230.929,0.000,0.001,0.000,0.001,0.000,0.012,2.269,driving,-1
0.940,-0.400,0.607,230.929,0.000,0.001,0.000,0.001,0.000,0.005,2.269,driving,-1
1.060,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.011,2.269,driving,-1
1.180,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.300,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.420,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.540,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.660,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.780,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.900,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.020,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.140,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.260,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.380,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.001,2.269,driving,-1
2.500,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.620,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.740,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.860,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.980,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
3.100,-0.400,0.607,230.996,0.000,0.000,1.328,1.328,0.000,16.391,2.257,driving,-1
3.220,-0.400,0.607,231.205,0.000,0.000,1.536,1.536,0.000,5.413,2.229,driving,-1
3.340,-0.400,0.607,231.396,0.000,0.000,2.184,2.184,0.000,15.959,2.221,driving,-1
3.460,-0.400,0.607,231.788,-0.001,0.000,4.020,4.020,0.000,14.803,2.256,driving,-1
3.580,-0.401,0.608,232.387,-0.001,0.015,5.577,5.577,0.000,4.126,2.433,driving,-1
3.700,-0.401,0.608,233.181,-0.001,-0.007,7.175,7.175,0.000,7.904,2.851,driving,-1
3.820,-0.401,0.608,234.142,-0.001,-0.001,8.532,8.532,0.000,8.277,3.533,driving,-1
3.940,-0.401,0.608,235.252,-0.001,0.001,9.704,9.704,0.000,6.775,4.452,driving,-1
4.060,-0.401,0.608,236.492,-0.001,0.000,10.736,10.736,0.000,7.458,5.384,driving,-1
4.180,-0.401,0.608,237.843,-0.002,0.000,11.602,11.602,0.000,6.680,4.191,driving,-1
4.300,-0.402,0.608,239.287,-0.002,0.000,12.330,12.330,0.000,5.626,3.065,driving,-1
4.420,-0.402,0.608,240.810,-0.002,0.000,12.937,12.937,0.000,4.684,2.301,driving,-1
4.540,-0.402,0.608,242.399,-0.002,0.000,13.442,13.442,0.000,3.879,2.443,driving,-1
4.660,-0.434,0.608,244.041,-0.674,0.000,13.821,13.838,13.203,11.317,3.479,driving,-1
4.780,-0.551,0.607,245.721,-0.996,-0.001,14.140,14.175,0.000,2.851,4.936,driving,-1
4.900,-0.631,0.607,247.439,-0.236,0.000,14.432,14.433,12.284,11.250,4.657,driving,-1
5.020,-0.624,0.607,249.187,0.092,0.000,14.662,14.662,0.000,1.914,3.299,driving,-1
5.140,-0.617,0.607,250.961,0.042,0.000,14.857,14.857,0.000,1.526,2.483,driving,-1
5.260,-0.614,0.607,252.747,0.011,0.000,14.886,14.886,0.000,0.219,2.792,driving,-1
5.380,-0.615,0.607,254.533,-0.009,0.000,14.886,14.886,0.000,0.138,3.977,driving,-1
5.500,-0.617,0.607,256.320,-0.022,0.000,14.886,14.886,0.000,0.083,5.498,driving,-1
5.620,-0.620,0.607,258.106,-0.029,0.000,14.886,14.886,0.000,0.049,4.102,driving,-1
5.740,-0.624,0.607,259.892,-0.034,0.000,14.886,14.886,0.000,0.030,2.878,driving,-1
5.860,-0.628,0.608,261.679,-0.036,0.021,14.890,14.890,0.000,0.407,2.475,driving,-1
5.980,-0.632,0.610,263.465,-0.037,0.007,14.886,14.886,0.000,0.346,3.217,driving,-1
6.100,-0.637,0.610,265.251,-0.037,-0.005,14.886,14.886,0.000,0.016,4.578,driving,-1
6.220,-0.648,0.610,267.037,-0.265,0.000,14.881,14.883,6.913,6.217,6.163,driving,-1
6.340,-0.782,0.610,268.816,-1.916,0.003,14.736,14.860,22.937,18.488,7.867,driving,-1
6.460,-1.120,0.610,270.568,-3.186,0.000,14.539,14.884,7.912,4.060,9.635,driving,-1
6.580,-1.519,0.611,272.309,-3.612,0.051,14.427,14.873,12.250,10.262,11.416,driving,-1
6.700,-2.101,0.603,273.975,-5.528,-0.081,13.655,14.731,28.188,15.129,13.180,driving,-1
6.820,-2.910,0.604,275.532,-7.785,0.014,12.404,14.644,44.663,25.232,14.910,driving,-1
6.940,-4.006,0.604,276.899,-10.053,0.034,10.619,14.622,40.949,22.784,14.853,driving,-1
7.060,-5.318,0.604,278.059,-11.463,-0.012,9.071,14.617,28.782,15.419,13.270,driving,-1
7.180,-6.791,0.630,279.008,-12.856,0.085,7.014,14.645,45.000,25.422,11.618,driving,-1
7.300,-8.424,0.621,279.668,-14.077,-0.127,4.413,14.753,45.000,24.752,9.888,driving,-1
7.420,-10.154,0.601,280.018,-14.533,-0.045,2.005,14.671,32.383,17.449,8.125,driving,-1
7.540,-11.897,0.632,280.168,-14.539,0.218,0.726,14.559,16.384,13.096,6.383,driving,-1
7.660,-13.655,0.618,280.241,-14.723,-0.208,0.699,14.741,0.000,5.528,4.652,driving,-1
