Metric,Value

Agent Type,DRL_Agent
Completion Time (s),20.319
Collision Count,0
Distance Traveled (m),266.469
Average Speed (m/s),0.86749
Maximum Speed (m/s),1.00286
Minimum Speed (m/s),0.46936
Speed Standard Deviation,0.140392
Speed Consistency,0.8381627
Average Steering Angle (deg),12.0600000
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.5045045
Average Acceleration (m/s²),13.0123
Maximum Acceleration (m/s²),15.043
Average Path Deviation (m),0
Maximum Path Deviation (m),0

Lap Data
Lap,StartTime,EndTime,LapTime,AvgSpeed,MaxSpeed,MinSpeed,AvgSteering,MaxSteering,AvgAccel,MaxAccel,PathDeviation,Collisions,Efficiency

Lap Summary
Metric,Value
Total Laps,0
