Timestamp,PositionX,PositionY,PositionZ,Speed,PathDeviation
0.000,-0.400,0.687,230.930,0.196,2.269
0.020,-0.400,0.679,230.930,0.586,2.269
0.040,-0.400,0.664,230.930,0.764,2.269
0.060,-0.400,0.648,230.930,0.821,2.269
0.080,-0.400,0.633,230.930,0.746,2.269
0.100,-0.400,0.620,230.930,0.618,2.269
0.120,-0.400,0.611,230.930,0.484,2.269
0.140,-0.400,0.603,230.930,0.357,2.269
0.160,-0.400,0.599,230.930,0.242,2.269
0.180,-0.400,0.596,230.930,0.144,2.269
0.200,-0.400,0.594,230.930,0.064,2.269
0.220,-0.400,0.594,230.930,0.004,2.269
0.240,-0.400,0.595,230.929,0.040,2.269
0.260,-0.400,0.597,230.929,0.068,2.269
0.280,-0.400,0.598,230.929,0.083,2.269
0.300,-0.400,0.600,230.929,0.088,2.269
0.320,-0.400,0.602,230.929,0.086,2.269
0.340,-0.400,0.603,230.929,0.078,2.269
0.360,-0.400,0.605,230.929,0.068,2.269
0.380,-0.400,0.606,230.929,0.056,2.269
0.400,-0.400,0.607,230.929,0.043,2.269
0.420,-0.400,0.607,230.929,0.032,2.269
0.440,-0.400,0.608,230.929,0.021,2.269
0.460,-0.400,0.608,230.929,0.012,2.269
0.480,-0.400,0.608,230.929,0.005,2.269
0.500,-0.400,0.608,230.930,0.000,2.269
0.520,-0.400,0.608,230.930,0.004,2.269
0.540,-0.400,0.608,230.930,0.006,2.269
0.560,-0.400,0.608,230.930,0.008,2.269
0.580,-0.400,0.607,230.930,0.008,2.269
0.600,-0.400,0.607,230.930,0.008,2.269
0.620,-0.400,0.607,230.930,0.007,2.269
0.640,-0.400,0.607,230.930,0.350,2.269
0.660,-0.400,0.607,230.936,0.686,2.268
0.680,-0.400,0.607,230.950,1.019,2.265
0.700,-0.400,0.607,230.970,1.349,2.261
0.720,-0.400,0.607,230.996,1.677,2.256
0.740,-0.400,0.607,231.029,2.000,2.251
0.760,-0.400,0.607,231.069,2.321,2.245
0.780,-0.400,0.607,231.115,2.637,2.239
0.800,-0.400,0.607,231.167,2.950,2.233
0.820,-0.400,0.607,231.225,3.259,2.227
0.840,-0.400,0.607,231.289,3.565,2.223
0.860,-0.400,0.607,231.360,3.866,2.221
0.880,-0.400,0.607,231.437,4.162,2.221
0.900,-0.400,0.607,231.519,4.455,2.225
0.920,-0.400,0.607,231.607,4.743,2.231
0.940,-0.400,0.607,231.701,5.027,2.242
0.960,-0.400,0.607,231.800,5.267,2.258
0.980,-0.400,0.608,231.906,5.645,2.279
1.000,-0.400,0.608,232.014,5.730,2.306
1.020,-0.400,0.608,232.133,6.229,2.341
1.040,-0.400,0.608,232.253,6.348,2.381
1.060,-0.400,0.608,232.379,6.622,2.430
1.080,-0.400,0.608,232.511,6.904,2.486
1.100,-0.400,0.608,232.648,7.156,2.551
1.120,-0.400,0.608,232.789,7.333,2.623
1.140,-0.400,0.608,232.935,7.604,2.703
1.160,-0.400,0.608,233.086,7.837,2.792
1.180,-0.400,0.608,233.241,8.044,2.888
1.200,-0.400,0.608,233.401,8.290,2.993
1.220,-0.401,0.608,233.565,8.483,3.106
1.240,-0.401,0.608,233.733,8.718,3.226
1.260,-0.401,0.608,233.906,8.890,3.353
1.280,-0.401,0.608,234.083,9.133,3.487
1.300,-0.401,0.608,234.263,9.285,3.628
1.320,-0.401,0.608,234.448,9.528,3.776
1.340,-0.401,0.608,234.636,9.659,3.930
1.360,-0.401,0.608,234.829,9.907,4.090
1.380,-0.401,0.608,235.024,10.016,4.255
1.400,-0.401,0.608,235.224,10.267,4.427
1.420,-0.401,0.608,235.426,10.356,4.603
1.440,-0.401,0.608,235.633,10.607,4.786
1.460,-0.401,0.608,235.842,10.683,4.972
1.480,-0.401,0.608,236.056,10.925,5.164
1.500,-0.401,0.608,236.271,10.995,5.359
1.520,-0.401,0.608,236.490,11.224,5.385
1.540,-0.401,0.608,236.712,11.294,5.185
1.560,-0.401,0.608,236.937,11.504,4.982
1.580,-0.401,0.608,237.164,11.579,4.780
1.600,-0.401,0.608,237.395,11.768,4.577
1.620,-0.401,0.608,237.627,11.850,4.375
1.640,-0.401,0.608,237.863,12.016,4.174
1.660,-0.401,0.608,238.101,12.106,3.975
1.680,-0.401,0.608,238.342,12.251,3.778
1.700,-0.401,0.608,238.585,12.347,3.585
1.720,-0.401,0.608,238.830,12.473,3.396
1.740,-0.401,0.608,239.077,12.571,3.213
1.760,-0.401,0.608,239.327,12.685,3.038
1.780,-0.401,0.608,239.578,12.781,2.873
1.800,-0.401,0.608,239.832,12.885,2.719
1.820,-0.402,0.608,240.088,12.978,2.581
1.840,-0.402,0.608,240.345,13.073,2.461
1.860,-0.402,0.608,240.605,13.162,2.362
